DynoWare,Version 3.1.2.0
Path:,C:\Kistler\Dynoware\Data\
Filename:,messdat.dwd
Config ID:,messdat_062.cfg
Setup ID:,0
Manipulated:,0
Filename 1:, 
Filename 2:, 
Date:,Wednesday, November 29, 2023
Time:,16:01:40
Sampling rate [Hz]:,1000
Measuring time [s]:,75
Delay time [s]:,0
Cycle time [s]:,0
Cycles:,1
Samples per channel:,75001
Cycle interval:,0
Cycle No:,1
Time,Fx,Fy,Fz
s,N,N,N
0.141,-1.37329,1.79727,-5.13785
0.142,-1.13242,1.68283,-5.25556
0.143,-0.287737,2.28119,-4.69099
0.144,-0.576564,2.30626,-4.15693
0.145,-0.936236,2.42724,-3.99344
0.146,-0.306266,2.56784,-3.36565
0.147,0.312805,2.63759,-3.57492
0.148,-0.5079,2.54604,-3.67737
0.149,-0.285557,2.54059,-3.45285
0.15,-0.0675746,2.45884,-4.05666
0.151,-0.784738,2.2474,-3.99562
0.152,-0.904628,2.45231,-4.35965
0.153,-0.76185,1.96947,-4.64957
0.154,-0.980922,1.72424,-5.12041
0.155,-0.75313,1.77983,-5.079
0.156,-0.749861,1.66975,-5.26646
0.157,-0.924247,1.74931,-5.32968
0.158,-0.729152,1.68719,-5.46919
0.159,-1.31335,1.51934,-5.11387
0.16,-0.782558,1.54768,-5.28826
0.161,-0.2485,2.09154,-5.17055
0.162,-0.986372,2.085,-4.56238
0.163,-0.271388,2.06321,-4.37491
0.164,0.12643,2.28337,-4.10243
0.165,-0.745501,2.51552,-4.06102
0.166,-0.607082,2.52751,-3.99126
0.167,-0.0392369,2.58527,-3.8038
0.168,-0.615801,2.32697,-3.92587
0.169,-1.09427,2.23214,-4.01524
0.17,-0.699724,2.56239,-4.06102
0.171,0.485012,2.64413,-3.81688
0.172,-0.605992,2.4741,-4.07192
0.173,-1.10844,2.23105,-4.29208
0.174,0.287737,2.15585,-4.59944
0.175,-0.577654,2.01089,-5.01796
0.176,-1.54005,1.87901,-5.07028
0.177,-0.364031,1.94768,-5.28608
0.178,0.0468663,1.79945,-5.32532
0.179,-1.50844,1.51934,-5.16619
0.18,-1.37983,1.93024,-5.46265
0.181,0.136239,1.99018,-5.03322
0.182,-1.05613,2.06757,-4.95475
0.183,-1.46593,2.15585,-4.38145
0.184,0.607082,2.41198,-3.90625
0.185,0.104632,2.64849,-3.83214
0.186,-0.607082,2.6147,-3.69481
0.187,-0.616891,2.89808,-3.84086
0.188,-0.12643,2.50353,-4.03922
0.189,-0.702994,2.47737,-3.86047
0.19,-0.987462,2.5722,-4.16565
0.191,-0.772749,2.62451,-3.69263
0.192,0.542777,2.40762,-4.0414
0.193,-0.527518,2.30299,-4.2245
0.194,-0.781468,2.03814,-4.5275
0.195,0.221252,1.93242,-5.17927
0.196,-0.892639,1.8692,-5.06374
0.197,-1.61525,1.66648,-5.43649
0.198,-0.399998,1.80163,-5.45175
0.199,-0.917707,1.73187,-5.07464
0.2,-0.902448,1.6752,-5.34276
0.201,-0.710624,1.8474,-5.36237
0.202,-0.643049,1.72969,-4.99834
0.203,-0.932966,2.26048,-4.69099
0.204,-1.00599,2.41743,-4.32478
0.205,-0.343323,2.61034,-3.90625
0.206,0.103542,2.53078,-3.88881
0.207,-0.481742,2.51334,-3.63377
0.208,-0.320435,2.71279,-3.8256
0.209,-0.289917,2.7117,-3.95857
0.21,-0.701904,2.46756,-3.73622
0.211,-0.467573,2.42288,-4.0414
0.212,0.188555,2.45884,-4.15039
0.213,-0.599452,2.15912,-4.47954
0.214,-1.67302,2.0534,-5.06156
0.215,-1.0158,1.32316,-5.25556
0.216,-0.320435,1.73841,-5.29044
0.217,-0.929696,1.92915,-4.91551
0.218,-0.659398,1.91389,-4.83704
0.219,0.0261579,1.67738,-4.78254
0.22,-0.194005,1.72097,-5.24248
0.221,-1.2425,1.66103,-5.23376
0.222,-1.0049,1.91716,-5.14003
0.223,-0.75749,2.02397,-4.59726
0.224,-0.188555,1.98364,-4.30298
0.225,-1.42561,2.66157,-4.10461
0.226,-0.210353,2.60816,-3.79944
0.227,0.190735,2.83269,-3.70789
0.228,-1.17602,2.45884,-3.83432
0.229,-0.426156,2.52206,-3.88881
0.23,0.673567,2.59399,-3.79726
0.231,-1.21307,2.60925,-3.94331
0.232,-0.447954,2.6147,-4.18963
0.233,-0.214713,2.14713,-4.62995
0.234,-1.48664,1.82996,-4.81088
0.235,-0.518799,1.91934,-4.88281
0.236,-0.686646,2.23105,-5.07464
0.237,-0.415257,1.85394,-4.97437
0.238,0.103542,1.82016,-4.99616
0.239,-1.03978,1.63923,-5.19235
0.24,-0.324794,1.78855,-5.44303
0.241,-0.901358,1.60326,-5.49316
0.242,-2.03269,1.93024,-5.26646
0.243,-1.23596,2.09917,-5.0027
0.244,0.236511,2.14277,-4.14821
0.245,-0.644139,2.7117,-3.479
0.246,-0.366211,2.75966,-3.91279
0.247,-0.144958,2.91225,-3.69263
0.248,-0.839233,2.60271,-3.82996
0.249,-1.21525,2.44032,-4.02832
0.25,-0.671387,2.51007,-4.05012
0.251,-0.518799,2.65067,-4.10679
0.252,-0.464303,2.53296,-3.62069
0.253,-0.665937,2.21579,-4.41197
0.254,-0.0566755,2.1504,-4.72369
0.255,-0.332424,1.68174,-5.15529
0.256,-1.49645,1.71661,-5.4997
0.257,-1.42234,1.88119,-5.71987
0.258,-0.416347,1.47792,-5.15093
0.259,-1.23487,1.48882,-5.28172
0.26,-0.584194,1.57601,-5.29916
0.261,0.294277,1.73078,-4.95039
0.262,-1.09645,1.94114,-4.85665
0.263,-1.14659,2.12969,-4.42941
0.264,-0.546047,2.20272,-4.68227
0.265,-0.362941,2.41852,-3.97818
0.266,-0.280108,2.59617,-3.60325
0.267,-0.997271,2.48391,-4.13949
0.268,-0.232152,2.45993,-3.9978
0.269,-0.273568,2.28991,-4.08718
0.27,-1.67302,2.29972,-4.18963
0.271,-0.492641,2.51879,-4.25502
0.272,-0.404358,2.14822,-4.50352
0.273,-1.37765,1.96838,-4.582
0.274,-0.186375,1.95421,-5.27954
0.275,-0.535148,1.66103,-4.95039
0.276,-0.62452,1.83214,-5.0027
0.277,-0.433786,1.84522,-5.24248
0.278,-0.994001,1.71334,-5.2403
0.279,-0.705174,1.7831,-5.21415
0.28,-0.594003,1.55422,-5.19671
0.281,-1.47465,1.64359,-5.3057
0.282,-0.289917,1.64795,-5.07246
0.283,-0.997271,1.99781,-4.57546
0.284,-0.239781,2.29645,-4.08282
0.285,-0.583104,2.58963,-4.11769
0.286,-0.701904,2.67029,-3.69917
0.287,-0.239781,2.56893,-3.83214
0.288,-0.401088,2.54822,-4.03704
0.289,-0.7564,2.62015,-3.74058
0.29,-0.413077,2.7226,-3.7493
0.291,-0.309535,2.88064,-3.81252
0.292,-0.176566,2.34004,-3.83214
0.293,-0.556946,2.18092,-4.52968
0.294,-1.45285,1.87901,-5.16619
0.295,-0.892639,1.71116,-5.43649
0.296,-0.691005,1.85612,-5.61741
0.297,-1.57384,1.73623,-5.20543
0.298,0.100272,1.68828,-5.02886
0.299,-0.661578,1.81253,-5.14875
0.3,-1.21961,1.65231,-5.25338
0.301,-1.03215,1.76893,-5.21633
0.302,-0.710624,1.95748,-5.47791
0.303,-0.452314,2.28664,-4.20053
0.304,-0.238691,2.5177,-3.97818
0.305,-0.63542,2.40217,-3.68609
0.306,0.0152588,2.6692,-3.59453
0.307,-0.395639,2.79127,-3.83868
0.308,-1.05831,2.67138,-3.7275
0.309,-0.186375,2.27465,-3.98472
0.31,-0.702994,2.45558,-3.98908
0.311,-1.30463,2.43378,-3.97382
0.312,-0.300816,2.35748,-4.11115
0.313,-0.810896,2.14059,-4.68445
0.314,-0.653948,1.96075,-4.85012
0.315,-0.920977,1.90081,-5.19889
0.316,-0.37493,1.81144,-5.08554
0.317,-0.426156,1.85285,-5.21633
0.318,-1.11171,1.50517,-5.0027
0.319,-0.385829,1.92152,-5.39725
0.32,-0.543867,1.63814,-5.3057
0.321,-1.1128,1.70571,-5.04848
0.322,-0.851222,1.88882,-5.18581
0.323,-0.803266,1.794,-4.79126
0.324,-0.543867,2.20707,-4.52314
0.325,-0.811986,2.45884,-4.0523
0.326,-0.613621,2.45122,-4.0741
0.327,-0.457764,2.63214,-4.12859
0.328,-1.08882,2.24631,-3.56184
0.329,-0.232152,2.53732,-3.55748
0.33,-0.143869,2.66593,-3.77982
0.331,-0.272478,2.58201,-3.51606
0.332,-0.0446865,2.64086,-3.86483
0.333,-0.538417,2.31607,-4.40979
0.334,-0.88501,1.93787,-4.89153
0.335,-0.585284,1.82887,-5.14657
0.336,-0.459944,1.61198,-5.18363
0.337,-0.571115,1.54768,-5.41251
0.338,-1.4376,1.60544,-5.44303
0.339,-1.1128,1.56621,-5.2294
0.34,0.0806536,1.74059,-5.27736
0.341,-0.810896,1.72642,-4.79126
0.342,-0.595093,2.04468,-4.62559
0.343,0.184195,2.4534,-4.23976
0.344,-0.779288,2.51225,-4.06974
0.345,-0.734602,2.51661,-3.94767
0.346,-0.819615,2.54822,-3.57492
0.347,-0.103542,2.80108,-3.84957
0.348,0,2.59835,-3.56184
0.349,-1.31335,2.44141,-3.90843
0.35,-0.943865,2.80762,-4.18527
0.351,-0.0948225,2.28555,-3.97164
0.352,-1.06267,2.48827,-4.29426
0.353,-1.30136,2.39345,-4.49698
0.354,-0.118801,2.0316,-5.00488
0.355,-0.192915,2.04686,-4.72586
0.356,-0.640869,1.76239,-5.03104
0.357,-0.75858,1.89536,-5.37109
0.358,-0.745501,1.87138,-5.54112
0.359,-0.594003,1.58582,-5.2839
0.36,-1.51171,1.88991,-5.35148
0.361,-0.88065,1.52261,-5.39289
0.362,-0.288827,1.54659,-5.17927
0.363,-0.479562,2.0098,-4.61905
0.364,-1.54441,2.28555,-4.44031
0.365,-0.464303,2.54059,-4.27682
0.366,-0.0403268,2.88064,-3.36347
0.367,-0.745501,2.48609,-3.52696
0.368,-0.151498,2.70517,-3.7602
0.369,0.425066,2.62887,-3.5662
0.37,-0.62888,2.69972,-3.79508
0.371,-0.873021,2.48173,-3.99126
0.372,0.172206,2.40326,-4.19835
0.373,-0.804356,2.09045,-4.71279
0.374,-0.973293,1.78746,-4.90679
0.375,-0.694275,1.85176,-5.49316
0.376,-0.853402,1.49645,-5.74384
0.377,-1.06376,1.71879,-5.14875
0.378,-1.43324,1.47465,-5.38635
0.379,-0.613621,1.46375,-5.41033
0.38,-0.515529,1.64795,-4.82614
0.381,-1.06812,1.89427,-5.05066
0.382,-0.571115,2.01089,-5.17055
0.383,-0.158037,2.08718,-4.70625
0.384,-1.67629,2.085,-4.19835
0.385,-0.116621,2.41416,-4.09807
0.386,0.00544957,2.92315,-3.76456
0.387,-1.30354,2.74658,-3.58146
0.388,0.0217983,2.15912,-3.87137
0.389,-0.217983,2.54277,-3.80816
0.39,-0.949315,2.39999,-4.01088
0.391,-0.609262,2.53623,-3.86701
0.392,0.0643049,2.35203,-3.94331
0.393,-1.04632,1.93351,-4.59508
0.394,-1.16621,1.80817,-5.20979
0.395,-0.726972,1.90299,-4.87409
0.396,-0.337873,1.62397,-5.04848
0.397,-0.817435,1.51934,-5.41687
0.398,-1.52588,1.99127,-5.26864
0.399,-0.530788,1.69264,-5.46919
0.4,-1.0801,1.92697,-4.97219
0.401,-0.728062,1.73187,-5.12041
0.402,-0.264849,1.85721,-4.60379
0.403,-0.452314,2.28991,-4.57764
0.404,-1.27302,2.47846,-4.55584
0.405,-1.11934,2.59835,-4.21797
0.406,-0.643049,2.29318,-4.06102
0.407,-0.284467,2.54168,-3.59671
0.408,-0.464303,2.4959,-3.61415
0.409,-0.221252,2.79236,-3.82778
0.41,0.203814,2.73786,-3.68173
0.411,-0.432696,2.43487,-3.81252
0.412,-1.5128,2.3335,-4.42505
0.413,-1.18801,2.18092,-4.95475
0.414,-0.308446,2.03596,-4.60379
0.415,-0.718253,1.82234,-4.92859
0.416,-1.15313,1.65667,-5.34276
0.417,0.100272,1.68065,-5.23159
0.418,-0.604902,1.80272,-5.04848
0.419,-1.82452,1.64686,-5.51714
0.42,-0.646319,1.76566,-5.29044
0.421,-0.483922,1.55095,-5.14439
0.422,-0.725882,1.62942,-5.05066
0.423,-0.687735,2.18637,-4.55802
0.424,-0.932966,2.30735,-4.2899
0.425,-0.422886,2.388,-3.91061
0.426,-0.912258,2.50244,-3.76674
0.427,-0.155858,2.49154,-3.65775
0.428,0.170027,2.71061,-3.7275
0.429,-0.541687,2.54168,-4.00216
0.43,-1.25122,2.3771,-4.15693
0.431,-0.401088,2.44686,-4.33568
0.432,-1.20653,2.30299,-3.86047
0.433,-1.07356,2.18855,-4.5275
0.434,0.235421,1.82561,-4.52314
0.435,-0.241961,1.91062,-4.71933
0.436,-0.713893,1.73623,-5.0245
0.437,-0.483922,1.80708,-5.29044
0.438,-0.75313,1.58255,-5.06592
0.439,-0.964574,1.51171,-5.62831
0.44,-1.12043,1.39945,-5.44085
0.441,-0.538417,1.74277,-5.27518
0.442,-0.856672,1.87029,-4.88499
0.443,-1.30899,2.14059,-4.69753
0.444,-0.269209,1.9771,-4.11769
0.445,-0.075204,2.54931,-3.76892
0.446,-0.874111,2.85121,-3.54222
0.447,-0.388009,2.72478,-3.79072
0.448,0.171116,2.59399,-3.59889
0.449,-0.51008,2.25939,-3.63595
0.45,-0.808716,2.5613,-3.88445
0.451,-0.723703,2.37165,-3.94549
0.452,-0.772749,2.33459,-4.33132
0.453,-1.26539,2.38255,-4.30734
0.454,-0.361851,1.66539,-4.61905
0.455,-0.203814,2.00326,-5.0136
0.456,-0.331334,2.20054,-4.63213
0.457,-0.985282,1.5771,-5.33404
0.458,-1.23705,1.85394,-5.60652
0.459,-0.965663,1.65231,-5.46265
0.46,-1.1564,1.7286,-5.48226
0.461,-1.03978,1.82452,-5.48009
0.462,-0.843593,1.62942,-4.81524
0.463,-0.190735,2.34876,-4.13513
0.464,-0.298636,2.45558,-4.05884
0.465,0.0686646,2.92097,-4.0632
0.466,-0.561305,2.77819,-3.51606
0.467,-0.403268,2.34876,-4.27682
0.468,-1.36348,2.37601,-4.28554
0.469,-1.08337,2.62233,-4.07846
0.47,-0.544957,2.30626,-3.75802
0.471,-0.0523158,2.84467,-3.73186
0.472,-0.0741141,2.41852,-3.86483
0.473,-0.0926427,2.39345,-4.3335
0.474,-0.939505,2.26702,-4.68445
0.475,-0.962394,1.72969,-5.41251
0.476,-1.01689,1.60871,-5.41033
0.477,-1.10517,1.28501,-5.25992
0.478,-1.09754,1.70353,-5.30788
0.479,-0.786918,1.71334,-5.07682
0.48,-0.352042,1.80163,-5.04194
0.481,-0.75967,1.83541,-5.03322
0.482,-0.646319,2.04141,-5.07028
0.483,-0.227792,2.14713,-4.38145
0.484,-0.856672,2.36838,-4.13077
0.485,-1.03324,2.42506,-4.13513
0.486,-0.403268,2.59072,-3.97818
0.487,-0.546047,2.42942,-3.68609
0.488,-1.02561,2.46647,-3.62505
0.489,-0.491551,2.44468,-3.95421
0.49,-0.111171,2.6038,-3.7493
0.491,-0.480652,2.53732,-3.51388
0.492,-0.797817,2.26593,-4.19399
0.493,-0.0871931,2.12642,-4.69971
0.494,0.0283378,2.03814,-4.42941
0.495,-1.77765,1.95966,-5.35148
0.496,-0.689915,1.65122,-5.17709
0.497,0.200544,1.63269,-5.25556
0.498,-1.93242,1.68501,-5.10733
0.499,-1.40708,1.55095,-5.44303
0.5,-0.0861032,1.86375,-5.20543
0.501,-0.980922,1.66539,-4.90679
0.502,-1.29264,1.67629,-4.93295
0.503,-0.767299,1.96729,-4.82178
0.504,-0.272478,2.14604,-4.32696
0.505,-0.946045,2.53187,-4.0414
0.506,-0.994001,2.54168,-3.83868
0.507,0.0152588,2.66593,-3.58146
0.508,0.302996,2.9286,-3.67955
0.509,-0.941685,2.74876,-3.50952
0.51,0.50027,2.58854,-3.87137
0.511,-0.63106,2.33133,-4.08936
0.512,-1.27629,2.24195,-4.52968
0.513,-0.974383,2.01634,-5.21633
0.514,-1.43651,1.90735,-5.13131
0.515,-0.979832,1.71552,-4.80216
0.516,-1.08119,2.01852,-5.0899
0.517,-0.76076,1.91934,-5.00706
0.518,-0.76076,1.75912,-4.94603
0.519,-1.27847,2.10135,-4.90897
0.52,-0.414167,1.7068,-4.87845
0.521,-0.410897,1.90735,-5.41687
0.522,-1.51934,1.891,-4.70189
0.523,-0.528608,2.05231,-4.7869
0.524,-0.0610352,2.40544,-4.3008
0.525,-0.735692,2.57983,-3.7602
0.526,-0.277928,2.74222,-3.86919
0.527,-0.403268,2.85121,-3.84739
0.528,-0.920977,2.50789,-3.92151
0.529,-1.0801,2.49808,-3.7384
0.53,-0.492641,2.61361,-3.5335
0.531,0.355312,2.51988,-3.61633
0.532,-0.305176,2.5286,-3.55966
0.533,-0.429426,2.41852,-4.13513
0.534,-0.140599,2.03923,-4.92641
0.535,-1.33187,1.93242,-5.079
0.536,-1.40817,1.6861,-5.29262
0.537,-0.770569,1.71334,-5.19235
0.538,-0.829424,1.75694,-5.19017
0.539,-0.564575,1.73732,-4.68445
0.54,-0.552586,1.78419,-4.95693
0.541,-0.0316075,1.80817,-5.08772
0.542,-0.850133,2.01416,-5.05938
0.543,-1.07247,2.10244,-4.61905
0.544,-0.50027,2.39127,-4.57546
0.545,-0.567845,2.33133,-4.27246
0.546,-0.729152,2.73023,-3.78854
0.547,-0.399998,2.31389,-3.62287
0.548,-0.425066,2.52424,-3.85175
0.549,0.359671,2.51225,-3.47246
0.55,-0.173296,2.51007,-3.57274
0.551,-0.700814,2.73568,-4.23758
0.552,-0.447954,2.25176,-4.29426
0.553,-0.902448,2.06866,-4.73894
0.554,-1.47901,1.69918,-5.19889
0.555,-0.369481,1.77438,-5.2839
0.556,-0.279018,1.64141,-5.15093
0.557,-1.10844,1.67193,-4.84794
0.558,-0.529698,1.85939,-4.71061
0.559,-0.738961,1.7613,-5.27082
0.56,-1.14659,1.52806,-5.39943
0.561,0.142779,1.86157,-5.14003
0.562,-1.21852,1.76239,-5.04412
0.563,-1.87683,1.88337,-5.0027
0.564,-0.159127,2.54713,-4.54494
0.565,-0.558036,2.35312,-3.76238
0.566,-0.326974,2.88064,-3.76892
0.567,-0.011989,2.7226,-3.33296
0.568,0.105722,2.78691,-3.27628
0.569,0.50245,2.61688,-3.86483
0.57,-1.4801,2.71279,-4.02178
0.571,-0.830514,2.58854,-3.99998
0.572,0.0523158,2.46429,-4.50134
0.573,-1.55313,2.05667,-4.49262
0.574,-1.20544,2.26593,-4.68227
0.575,0.50136,1.94005,-4.95911
0.576,-0.488281,2.08718,-4.66919
0.577,-0.451224,2.06321,-4.8087
0.578,-0.623431,1.92261,-4.95693
0.579,0.0141689,1.7504,-5.23594
0.58,-0.643049,1.72642,-5.22505
0.581,-1.93569,1.70353,-5.44521
0.582,-0.742231,1.5019,-5.41251
0.583,-0.473022,2.09045,-4.59508
0.584,-1.10844,2.33677,-4.21797
0.585,-0.726972,2.43705,-3.83868
0.586,0.0708444,2.6256,-3.72968
0.587,-0.0174386,2.77383,-3.79944
0.588,-0.88283,2.62233,-3.74494
0.589,-0.425066,2.5504,-3.74712
0.59,-0.106812,2.52206,-3.70135
0.591,-1.16076,2.56457,-3.90189
0.592,-0.396729,2.41743,-4.15475
0.593,-0.691005,2.43487,-4.38363
0.594,-0.811986,1.9771,-4.74984
0.595,-0.838144,1.70244,-5.20325
0.596,-0.730242,1.69809,-5.27954
0.597,-0.677926,1.76675,-5.09426
0.598,-0.843593,1.63705,-5.0354
0.599,-0.729152,1.59127,-5.23812
0.6,-0.239781,1.65885,-5.16183
0.601,-0.700814,1.5237,-5.09862
0.602,-0.874111,1.78201,-5.09644
0.603,-0.386919,2.0534,-4.61905
0.604,-0.906808,2.16021,-4.34658
0.605,-0.801086,2.28228,-4.11115
0.606,-0.523158,2.5613,-3.7711
0.607,-0.348772,2.30626,-4.03704
0.608,0.0817435,2.66593,-3.43759
0.609,-0.474112,2.52969,-3.51824
0.61,-0.334603,2.69972,-3.84304
0.611,-0.0261579,2.7553,-3.55312
0.612,-0.466483,2.28337,-4.07628
0.613,-1.09427,2.08173,-4.75856
0.614,-0.196184,2.09045,-4.99616
0.615,-1.41362,1.64141,-5.19671
0.616,-1.11171,1.52588,-5.45829
0.617,-0.156948,1.33187,-5.28826
0.618,-0.528608,1.49972,-5.17273
0.619,-1.3395,2.05122,-5.22723
0.62,-0.946045,2.00435,-5.09426
0.621,-0.0185285,1.81471,-4.86537
0.622,-0.87847,1.68174,-4.72804
0.623,-0.874111,2.1831,-4.42069
0.624,0.403268,2.39018,-4.17437
0.625,-0.176566,2.79018,-4.15039
0.626,-1.16185,2.50135,-3.78636
0.627,-0.716073,2.28119,-4.13077
