DynoWare,Version 3.1.2.0
Path:,C:\Kistler\Dynoware\Data\
Filename:,messdat.dwd
Config ID:,messdat_070.cfg
Setup ID:,0
Manipulated:,0
Filename 1:, 
Filename 2:, 
Date:,Wednesday, November 29, 2023
Time:,16:37:02
Sampling rate [Hz]:,1000
Measuring time [s]:,75
Delay time [s]:,0
Cycle time [s]:,0
Cycles:,1
Samples per channel:,75001
Cycle interval:,0
Cycle No:,1
Time,Fx,Fy,Fz
s,N,N,N
0,-1.22615,1.99345,1.4692
0.001,-1.5673,2.25612,1.25558
0.002,-2.20054,1.88446,0.861032
0.003,-1.57928,1.94441,0.723703
0.004,-2.21252,1.5564,0.769479
0.005,-2.10135,1.23378,0.289917
0.006,-1.73514,0.75313,-0.228882
0.007,-1.39073,0.455584,-0.12643
0.008,-1.38092,-0.335693,-0.178746
0.009,-1.55858,-0.063215,-0.215803
0.01,-1.19019,-0.262669,-0.202724
0.011,-1.24468,-0.512259,-0.477382
0.012,-0.896999,-0.368391,-0.287737
0.013,-1.12588,-0.178746,0.0762939
0.014,0.167847,0.171116,0.224522
0.015,-0.245231,1.03651,0.370571
0.016,-0.930786,1.32533,0.983102
0.017,-1.56512,1.77983,1.07683
0.018,-1.47792,1.92043,0.989641
0.019,-1.19564,2.07629,1.05504
0.02,-1.62615,2.25285,1.297
0.021,-1.69046,1.61961,0.704084
0.022,-1.80817,1.92152,1.23378
0.023,-2.51661,1.21743,0.605992
0.024,-2.03923,1.38637,0.998361
0.025,-1.67193,0.590733,0.564575
0.026,-1.54877,0.275748,0.0435965
0.027,-1.21743,-0.0686646,0.331334
0.028,-1.34168,-0.280108,-0.159127
0.029,-1.0801,-0.697545,-0.161307
0.03,-1.54768,-0.523158,-0.514439
0.031,-1.80381,-0.432696,-0.464303
0.032,-1.08773,-0.357492,0.0806536
0.033,-0.837054,0.563485,0.185285
0.034,-0.955854,0.871931,0.235421
0.035,-0.797817,0.953674,0.599452
0.036,-1.14986,1.63705,0.518799
0.037,-0.905718,1.69482,0.802176
0.038,-1.4692,2.20816,1.26866
0.039,-2.00108,2.31389,0.941685
0.04,-2.43814,1.78855,0.991821
0.041,-1.69373,1.59345,0.935146
0.042,-2.58636,0.908988,0.728062
0.043,-2.08936,0.980922,1.38855
0.044,-1.39618,0.770569,0.837054
0.045,-1.03433,0.63433,0.693185
0.046,-1.38637,0.312805,0.0610352
0.047,-0.942775,-0.217983,-0.222342
0.048,-0.826154,-0.354222,-0.350952
0.049,-1.25449,-0.349862,-0.353132
0.05,-1.2643,-0.152588,-0.222342
0.051,-1.19999,0.12752,-0.165667
0.052,-1.20871,0.563485,-0.37275
0.053,-0.712803,0.561305,-0.285557
0.054,-1.29482,0.771659,0.235421
0.055,-0.88501,1.66757,0.568935
0.056,-1.09972,1.82452,0.832694
0.057,-1.50735,2.18419,1.16185
0.058,-1.53351,1.96184,0.645229
0.059,-2.29209,1.90408,0.767299
0.06,-1.21089,1.56948,0.959124
0.061,-2.05994,1.5019,1.00708
0.062,-2.48173,1.41798,0.889369
0.063,-1.41144,0.600542,1.22288
0.064,-1.69046,0.674656,1.17493
0.065,-1.84522,-0.088283,0.411987
0.066,-1.25231,-0.415257,-0.0348772
0.067,-1.70462,-0.3782,0.0457764
0.068,-1.33296,-0.0730242,0.00653948
0.069,0.0141689,-0.150408,0.316075
0.07,-1.04741,-0.0163487,-0.115531
0.071,-1.2207,0.0719343,-0.050136
0.072,-1.75149,0.62561,-0.0305176
0.073,-2.27138,0.851222,-0.579834
0.074,-1.76457,0.908988,-0.261579
0.075,-1.73732,1.15967,0.623431
0.076,-1.66866,1.60762,0.440325
0.077,-1.32533,1.95313,1.08991
0.078,-1.99127,1.84086,0.858852
0.079,-2.3237,1.87683,0.736782
0.08,-2.07411,1.33732,0.793457
0.081,-2.39127,1.16621,0.817435
0.082,-1.38637,0.858852,1.00054
0.083,-1.07465,0.604902,1.19019
0.084,-1.12261,0.324794,1.29482
0.085,-1.13896,0.13188,0.773839
0.086,-1.69046,-0.187465,-0.156948
0.087,-1.02234,-0.11989,-0.0457764
0.088,-0.478472,-0.220163,-0.0719343
0.089,-0.832694,0.237601,-0.551496
0.09,-0.942775,0.722613,-0.196184
0.091,-0.134059,0.603812,0.562395
0.092,-1.7395,1.44087,-0.518799
0.093,-1.78855,1.1989,-0.12861
0.094,-1.83214,0.929696,-0.0566755
0.095,-2.33459,1.66757,0.108991
0.096,-1.62288,1.5237,0.527518
0.097,-1.63487,1.6207,0.913348
0.098,-2.52315,1.82343,1.04632
0.099,-2.12424,1.40926,1.29918
0.1,-1.91825,1.06594,1.27302
0.101,-1.091,0.851222,1.12697
0.102,-1.55422,0.62452,1.12697
0.103,-0.926427,0.385829,1.19237
0.104,-0.696455,0.301906,1.06594
0.105,-1.2861,0.0348772,0.355312
0.106,-1.80054,0.12425,0.0719343
0.107,-1.37547,0.0152588,0.170027
0.108,-0.452314,0.358582,-0.0850133
0.109,-0.801086,0.594003,0.340053
0.11,-1.11825,0.319345,-0.0174386
0.111,-1.52479,1.0158,-0.658308
0.112,-1.41035,0.924247,-0.222342
0.113,-2.22015,1.03542,-0.479562
0.114,-2.94495,1.38092,0.0261579
0.115,-2.485,1.31226,-0.0915527
0.116,-2.01634,1.42561,0.49918
0.117,-2.22996,1.26648,1.0703
0.118,-1.86375,1.20653,1.08119
0.119,-1.21525,1.22179,1.13351
0.12,-1.63051,0.948225,1.23596
0.121,-1.78419,0.541687,0.937326
0.122,-0.950405,0.556946,1.35149
0.123,-0.767299,0.184195,1.45612
0.124,-1.2534,0.511169,0.88501
0.125,-1.18365,0.0915527,0.695365
0.126,-1.15967,-0.165667,0.442505
0.127,-1.18692,0.50245,-0.283378
0.128,-0.707354,0.605992,0.117711
0.129,-1.25122,0.857762,-0.172206
0.13,-0.988552,1.04741,0.0479562
0.131,-1.29264,1.2861,-0.183105
0.132,-2.01198,1.54768,-0.435965
0.133,-2.25721,1.44958,-0.346593
0.134,-2.41961,1.22397,-0.313895
0.135,-1.84631,1.45285,0.209263
0.136,-2.21143,1.24032,0.335693
0.137,-1.70571,1.1782,0.477382
0.138,-1.01144,1.4158,1.30354
0.139,-1.26648,0.732422,1.34495
0.14,-1.51825,0.949315,1.21416
0.141,-1.49318,0.289917,0.832694
0.142,-1.39618,-0.0359671,1.15749
0.143,-0.171116,0.291007,1.07465
0.144,-0.323704,0.418527,1.0703
0.145,-0.959124,0.729152,0.601632
0.146,-0.63433,0.847953,0.479562
0.147,-0.731332,0.5079,0.226702
0.148,-1.01035,1.1346,-0.174386
0.149,-1.37547,0.956944,-0.261579
0.15,-1.70898,1.08119,0.189645
0.151,-2.37056,1.34168,-0.196184
0.152,-2.50353,1.14441,-0.819615
0.153,-2.68119,0.917707,-0.686646
0.154,-1.68065,0.966753,-0.414167
0.155,-2.38364,0.891549,0.172206
0.156,-2.13732,0.75095,0.322614
0.157,-1.60217,0.927516,1.0158
0.158,-1.12043,0.641959,0.88065
0.159,-1.19455,0.643049,0.699724
0.16,-1.02561,0.62997,0.991821
0.161,-1.52588,0.203814,1.27738
0.162,-1.24577,0.342233,1.09863
0.163,-0.662667,0.479562,0.749861
0.164,-0.328064,0.488281,1.13569
0.165,-0.471933,0.725882,0.468663
0.166,-1.19673,1.00926,0.518799
0.167,-1.43106,1.23705,0.172206
0.168,-1.39836,1.07356,-0.311715
0.169,-1.39727,0.994001,-0.237601
0.17,-2.32697,1.3504,-0.0196184
0.171,-2.16348,0.889369,-0.405448
0.172,-2.12969,1.16512,0.00217983
0.173,-2.29536,0.862122,-0.274658
0.174,-2.48064,0.443595,-0.364031
0.175,-1.59127,0.684466,0.261579
0.176,-1.44196,0.520979,0.562395
0.177,-1.21089,0.815255,1.11825
0.178,-1.30027,0.667027,1.04196
0.179,-0.730242,0.564575,1.19455
0.18,-0.714983,0.172206,0.558036
0.181,-0.717163,0.433786,1.12479
0.182,-0.289917,0.75531,1.53678
0.183,-0.273568,1.27847,1.36457
0.184,-0.158037,1.37438,0.974383
0.185,-1.27302,1.16185,0.568935
