DynoWare,Version 3.1.2.0
Path:,C:\Kistler\Dynoware\Data\
Filename:,messdat.dwd
Config ID:,messdat_064.cfg
Setup ID:,0
Manipulated:,0
Filename 1:, 
Filename 2:, 
Date:,Wednesday, November 29, 2023
Time:,16:16:56
Sampling rate [Hz]:,1000
Measuring time [s]:,75
Delay time [s]:,0
Cycle time [s]:,0
Cycles:,1
Samples per channel:,75001
Cycle interval:,0
Cycle No:,1
Time,Fx,Fy,Fz
s,N,N,N
0,-2.22887,-0.617981,-0.494821
0.001,-2.30081,-0.319345,-0.908988
0.002,-1.68392,-0.360761,-0.37275
0.003,-1.87138,-0.152588,-0.50354
0.004,-1.80272,0.615801,-0.658308
0.005,-0.823975,1.14005,0.675746
0.006,-1.7504,1.39945,0.398908
0.007,-1.63814,1.97819,0.483922
0.008,-2.09699,2.10135,0.869751
0.009,-2.9068,1.95204,-0.0523158
0.01,-2.71606,2.02615,0.194005
0.011,-2.29645,1.588,0.470843
0.012,-2.50462,1.95313,0.486101
0.013,-3.22505,1.36893,0.0653948
0.014,-2.90244,0.610352,-0.497001
0.015,-2.40871,0.174386,-0.37493
0.016,-2.61579,-0.50463,-0.621251
0.017,-2.13296,-0.426156,-1.03542
0.018,-1.82343,-0.0686646,-0.677926
0.019,-2.11225,-1.24032,-0.601632
0.02,-2.00653,-0.245231,-0.924247
0.021,-1.43324,-0.188555,-0.337873
0.022,-0.910078,-0.340053,-0.183105
0.023,-1.55967,0.433786,-0.398908
0.024,-1.51607,0.447954,-0.0980922
0.025,-1.57819,1.73405,0.135149
0.026,-0.88174,1.77002,0.392369
0.027,-2.194,2.12424,0.793457
0.028,-2.60598,2.17438,0.483922
0.029,-2.3128,1.94768,0.470843
0.03,-2.95149,1.80163,0.307356
0.031,-3.08773,1.22942,0.605992
0.032,-2.73568,1.21525,0.645229
0.033,-2.04141,0.973293,0.442505
0.034,-2.22451,0.603812,-0.0305176
0.035,-1.86266,-0.168937,-0.0457764
0.036,-1.588,-0.185285,-0.708444
0.037,-1.64795,-0.437055,-0.12425
0.038,-1.74931,-0.456674,-1.33841
0.039,-2.42833,-0.190735,-1.15531
0.04,-2.50898,-0.774929,-0.771659
0.041,-1.23378,0.139509,-0.579834
0.042,-1.14005,0.695365,-0.302996
0.043,-1.99672,0.530788,-0.241961
0.044,-1.7504,1.36239,-0.170027
0.045,-2.14168,1.46157,0.0370571
0.046,-2.50571,1.79945,0.12207
0.047,-2.5177,2.30408,0.322614
0.048,-2.30081,1.70462,0.791277
0.049,-2.39563,1.99236,0.75858
0.05,-3.04086,1.33623,0.270299
0.051,-2.90135,1.0594,0.621251
0.052,-1.62724,0.968933,0.695365
0.053,-1.84413,0.674656,0.50136
0.054,-2.12969,0.296456,-0.407628
0.055,-1.52479,0.0523158,-0.684466
0.056,-1.42343,-0.199454,-0.922067
0.057,-2.23759,-0.518799,-0.802176
0.058,-1.66975,-0.361851,-0.621251
0.059,-1.56839,-0.0163487,-0.237601
0.06,-1.21198,0.693185,-0.5079
0.061,-1.03542,0.407628,-0.475202
0.062,-1.42343,0.546047,-0.791277
0.063,-1.51607,1.03106,-0.473022
0.064,-2.11443,1.30136,-0.285557
0.065,-2.32043,1.84195,-0.302996
0.066,-2.55803,1.92261,0.139509
0.067,-2.81198,1.79836,0.599452
0.068,-2.00108,1.81035,0.741141
0.069,-2.65176,1.26866,0.603812
0.07,-2.33459,1.11389,0.662667
0.071,-2.03269,0.639779,0.732422
0.072,-2.4098,0.665937,0.0566755
0.073,-2.19945,0.37602,0.37493
0.074,-1.20217,-0.13188,0.662667
0.075,-1.96947,-0.134059,-0.178746
0.076,-1.55858,-0.445775,-0.638689
0.077,-1.50408,-0.240871,-0.830514
0.078,-2.0643,-0.0217983,-0.610352
0.079,-1.68501,0.0435965,-0.305176
0.08,-1.43542,0.578744,-0.37929
