DynoWare,Version 3.1.2.0
Path:,C:\Kistler\Dynoware\Data\
Filename:,messdat.dwd
Config ID:,messdat_066.cfg
Setup ID:,0
Manipulated:,0
Filename 1:, 
Filename 2:, 
Date:,Wednesday, November 29, 2023
Time:,16:25:37
Sampling rate [Hz]:,1000
Measuring time [s]:,75
Delay time [s]:,0
Cycle time [s]:,0
Cycles:,1
Samples per channel:,75001
Cycle interval:,0
Cycle No:,1
Time,Fx,Fy,Fz
s,N,N,N
0,-0.87738,-0.389099,-0.603812
0.001,0.619071,-0.24741,0.289917
0.002,-0.857762,0.524248,-0.710624
0.003,-0.801086,-0.661578,-0.856672
0.004,0.0773839,0.305176,0.795637
0.005,1.50844,0.491551,1.75476
0.006,0.0839233,0.791277,0.623431
0.007,-1.03542,0.984192,0.204904
0.008,-0.160217,0.50572,0.176566
0.009,0.210353,0.716073,0.808716
0.01,-0.116621,0.443595,0.529698
0.011,-0.161307,0.849043,0.677926
0.012,-0.445775,0.554766,0.233241
0.013,-0.928606,0.927516,0.466483
0.014,0.514439,0.24959,0.592913
0.015,0.451224,0.656128,0.675746
0.016,0.116621,-0.713893,0.233241
0.017,0.158037,0.13188,-0.813075
0.018,0.408718,0.273568,-0.88283
0.019,-1.34059,-0.576564,-1.11825
0.02,-1.00381,0.329154,-0.985282
0.021,0.0675746,0.0566755,-0.394549
0.022,0.185285,-0.00653948,-0.213623
0.023,0.107901,0.0697545,-0.357492
0.024,1.491,0.326974,0.311715
0.025,-0.409808,0.876291,0.656128
0.026,0.276838,1.0594,0.996181
0.027,-1.05286,0.960214,0.25504
0.028,0.12425,0.589643,1.297
0.029,0.358582,0.314985,0.316075
0.03,0.63324,1.07683,1.17929
0.031,-0.389099,1.15858,0.911168
0.032,0.025068,0.75422,1.37329
0.033,0.399998,0.982012,0.37711
0.034,0.453404,0.439235,0.326974
0.035,-0.188555,0.407628,0.132969
0.036,0.343323,-0.200544,0.0741141
0.037,-0.583104,-0.445775,-0.605992
0.038,-2.04795,-0.025068,-1.65885
0.039,-1.38528,-0.325884,-1.40381
0.04,0.535148,0.184195,-0.207084
0.041,-0.520979,-0.404358,-0.307356
0.042,-0.922067,0.0588553,-0.841413
0.043,0.408718,0.779288,0.435965
0.044,1.26212,-0.25068,0.980922
0.045,-0.916617,1.36675,0.551496
0.046,0.692095,0.851222,1.36893
0.047,0.672477,0.176566,1.63269
0.048,-0.37275,1.62942,-0.551496
0.049,-0.281198,0.211443,0.289917
0.05,0.530788,1.22506,0.939505
0.051,0.353132,1.48119,0.891549
0.052,-1.25013,0.75422,0.527518
0.053,-0.49809,0.922067,0.331334
0.054,0.863212,-0.25068,0.104632
0.055,-0.571115,0.573295,-0.483922
0.056,-0.794547,0.333514,-0.213623
0.057,1.14768,-0.568935,0.799997
0.058,0.418527,-0.050136,-1.03978
0.059,-1.22397,0.200544,-0.656128
0.06,0.00871931,-0.495911,-0.161307
0.061,0.641959,0.24741,-0.0283378
0.062,-0.619071,-0.100272,-0.876291
0.063,-1.65994,0.279018,-0.62997
0.064,0.348772,-0.291007,-0.117711
0.065,1.64141,0.199454,0.37929
0.066,-1.67956,1.18801,0.462123
0.067,-0.0904628,1.05068,0.956944
0.068,-0.167847,0.477382,0.837054
0.069,-0.712803,1.01144,0.274658
0.07,0.12861,0.747681,0.643049
0.071,1.75585,0.702994,1.85939
0.072,-0.12534,1.28501,0.793457
0.073,-0.38256,0.38038,0.368391
0.074,-0.660488,0.468663,0.37275
0.075,0.135149,-0.63324,0.235421
0.076,-0.0326974,0.441415,-0.165667
0.077,1.34822,0.348772,-0.156948
0.078,1.44414,-0.37384,0.178746
0.079,-0.663757,0.650678,-1.73732
0.08,-1.87356,0.0534058,-1.75476
0.081,0.0926427,0.0294277,-0.0370571
0.082,-0.398908,-0.00980922,-0.62997
0.083,-0.396729,0.462123,-0.653948
0.084,-0.643049,0.37711,0.00871931
0.085,1.0594,-0.24632,1.31662
0.086,-0.309535,1.4376,0.438145
0.087,-1.0594,0.769479,0.566755
0.088,0.488281,0.457764,1.53024
0.089,0.621251,0.670297,0.915527
0.09,-0.227792,0.680106,0.544957
0.091,-0.0414167,1.0485,1.02234
0.092,0.926427,0.770569,0.930786
0.093,0.0806536,0.552586,0.708444
0.094,-1.96729,0.532968,-1.2752
0.095,-0.367301,0.311715,-0.411987
0.096,0.943865,-0.0468663,0.780378
0.097,0.309535,-0.25068,-0.196184
0.098,-0.38147,0.013079,-1.13133
0.099,0.552586,-0.0926427,-0.100272
0.1,0.469753,-0.139509,-1.32316
0.101,-1.43651,0.222342,-1.35585
0.102,-1.32969,0.354222,-0.647409
0.103,0.177656,0.12752,0.12861
0.104,0.340053,0.51008,0.355312
0.105,0.0675746,0.785828,0.309535
0.106,0.962394,0.684466,1.05068
0.107,1.24795,1.20871,1.14223
0.108,-0.663757,1.37547,0.455584
0.109,-1.35476,0.985282,0.0697545
0.11,0.275748,0.768389,1.15531
0.111,0.562395,0.561305,0.237601
0.112,-0.418527,0.563485,0.645229
0.113,0.665937,0.0686646,0.932966
0.114,-0.670297,0.418527,0.0828334
0.115,-0.610352,0.700814,-0.520979
0.116,0.0871931,-0.462123,-0.194005
0.117,0.173296,0.405448,-0.209263
0.118,-0.497001,0.165667,-0.847953
0.119,0.161307,-0.198364,-0.50136
0.12,-0.101362,0.547137,-0.0980922
0.121,1.35367,-0.172206,-0.0806536
0.122,-1.19673,0.0915527,-0.861032
0.123,-0.707354,-0.216893,0.0305176
0.124,0.954764,0.402178,-0.237601
0.125,0.320435,0.570025,0.592913
0.126,-0.176566,0.106812,0.538417
0.127,-0.182016,1.29482,1.0485
0.128,1.01362,0.137329,0.976563
0.129,-0.38147,1.28501,0.823975
0.13,-0.520979,1.15422,0.217983
0.131,0.617981,0.712803,0.998361
0.132,0.645229,0.986372,1.04632
0.133,-0.525338,0.558036,0.233241
0.134,0.388009,0.517709,0.51008
0.135,0.421797,0.667027,-0.0850133
0.136,-0.821795,0.25395,-0.603812
0.137,-0.656128,0.344413,-0.638689
0.138,1.21089,0.0566755,0.194005
0.139,0.637599,-0.475202,-0.204904
0.14,-0.988552,0.555856,-1.24468
0.141,0.134059,-0.832694,-0.701904
0.142,-0.768389,0.272478,-0.364031
0.143,-1.35585,-0.165667,-0.762939
0.144,-1.75258,0.0566755,-0.274658
0.145,0.434875,0.37493,0.473022
0.146,1.41798,0.416347,1.11389
0.147,0.318255,0.956944,1.15967
0.148,0.240871,0.868661,1.33841
0.149,2.40435,0.540597,0.948225
0.15,-0.0577654,0.994001,0.839233
0.151,-0.222342,0.938416,0.215803
0.152,0.238691,0.25177,0.475202
0.153,-0.390189,0.833784,-0.0108991
0.154,-0.784738,-0.00435965,-0.605992
0.155,-0.697545,-0.0643049,-0.479562
0.156,-0.0403268,-0.13079,-0.150408
0.157,-0.404358,0.444685,-0.662667
0.158,-0.397818,0.974383,-0.967843
0.159,0.670297,-0.487191,0.549316
0.16,0.928606,0.279018,-0.307356
0.161,0.348772,0.810896,-0.37929
0.162,0.575474,-0.308446,-0.457764
0.163,0.111171,0.854492,-0.462123
0.164,-0.189645,0.0861032,-0.0305176
0.165,-1.29918,0.694275,0.0762939
0.166,0.947135,0.87847,1.43651
0.167,1.02888,0.691005,1.29046
0.168,-1.02888,1.49754,1.0267
0.169,0.0871931,0.152588,0.948225
0.17,1.26648,0.681196,1.46484
0.171,0.0425066,0.998361,0.117711
0.172,-1.09427,1.01144,0.12643
0.173,-0.223432,0.411987,0.904628
0.174,-0.24959,-0.138419,0.348772
0.175,-0.815255,0.172206,-0.547137
0.176,-0.298636,0.224522,-0.440325
0.177,0.479562,-0.600542,0.542777
0.178,-0.25286,0.590733,-0.7564
0.179,-0.573295,-0.481742,-0.671387
0.18,1.22397,-0.275748,-0.778198
0.181,0.202724,0.134059,-1.18583
0.182,-1.36566,0.243051,-1.20108
0.183,-1.93787,0.216893,-0.791277
0.184,0.203814,0.0719343,0.180926
0.185,0.519889,0.641959,0.0348772
0.186,0.588553,0.308446,1.06158
0.187,0.483922,0.736782,1.37329
0.188,0.927516,0.876291,0.479562
0.189,-1.20326,1.04959,0.520979
0.19,0.0686646,0.857762,0.368391
0.191,1.11062,0.664847,0.930786
0.192,0.357492,1.37329,1.10953
0.193,0.261579,0.681196,1.01798
0.194,0.294277,0.782558,0.170027
0.195,0.350952,0.0599452,-0.845773
0.196,-1.25449,-0.62997,-0.49918
0.197,-0.528608,0.75313,-1.02234
0.198,-0.895909,-0.320435,-0.0283378
0.199,-0.870841,0.214713,-0.62997
0.2,0.469753,-0.106812,0.0588553
0.201,0.660488,-0.384739,0.364031
0.202,0.0653948,0.63106,-0.514439
0.203,-0.267029,-0.0697545,-0.725882
0.204,-1.39727,0.522069,-0.050136
0.205,-0.603812,-0.12207,-0.100272
0.206,-0.944955,0.0435965,0.263759
0.207,1.50844,0.512259,1.55858
0.208,0.967843,1.08337,1.98582
0.209,0.770569,1.01253,1.36239
0.21,0.0653948,0.857762,0.767299
0.211,0.589643,1.49427,0.597273
0.212,0.445775,0.223432,0.481742
0.213,-0.701904,1.0703,0.111171
0.214,-0.719343,0.595093,-0.180926
0.215,0.134059,-0.165667,0.396729
0.216,0.688825,0.240871,-0.37929
0.217,0.570025,-0.349862,0.220163
0.218,-0.0435965,0.768389,0.0828334
0.219,0.25722,0.299726,-0.5079
0.22,-0.369481,-0.0980922,-0.802176
0.221,-0.87956,-0.0141689,-1.02016
0.222,-0.674656,-0.930786,-0.994001
0.223,-0.326974,0.494821,-0.185285
0.224,0.152588,0.50136,0.102452
0.225,-0.265939,0.470843,0.558036
0.226,0.651768,1.02888,1.54986
0.227,-0.163487,0.579834,1.12261
0.228,-0.359671,1.09863,0.682286
0.229,-0.0937326,1.01907,0.802176
0.23,1.21961,0.425066,1.01798
0.231,0.644139,0.714983,0.577654
0.232,-0.467573,0.717163,0.799997
0.233,-0.465393,0.723703,0.320435
0.234,0.296456,0.162397,0.582014
0.235,-0.451224,0.537327,-0.553676
0.236,0.0457764,-0.259399,-0.566755
0.237,1.19999,-0.488281,0.353132
0.238,-0.141689,0.652858,-0.691005
0.239,-0.578744,0.0534058,-0.0871931
0.24,0.283378,0.0523158,-0.224522
0.241,-0.553676,0.0970023,-1.33187
0.242,-0.265939,0.532968,-0.514439
0.243,0.902448,-0.37602,0.647409
0.244,-0.264849,0.417437,0.226702
0.245,-0.184195,1.08119,0.368391
0.246,-0.176566,0.802176,0.834874
0.247,1.20108,0.691005,0.939505
0.248,0.7564,1.11389,0.577654
0.249,-0.87738,1.00926,0.745501
0.25,-0.816345,0.523158,0.451224
0.251,-0.0675746,1.53242,0.719343
0.252,-0.178746,0.367301,0.555856
0.253,-0.12643,0.430516,0.405448
0.254,0.483922,0.309535,0.63215
0.255,1.03978,0.190735,0.237601
0.256,-1.42888,0.345503,-0.671387
0.257,-0.495911,-0.304086,-0.893729
0.258,-0.451224,-0.335693,-0.311715
0.259,-0.0196184,-0.868661,-0.832694
0.26,-1.22942,0.224522,-0.233241
0.261,-0.228882,0.178746,-1.0376
0.262,0.370571,-0.550406,0
0.263,-0.384739,0.671387,-0.25286
0.264,-0.00871931,0.0762939,0.370571
0.265,0.419617,0.890459,1.2643
0.266,0.435965,0.515529,0.462123
0.267,-0.353132,0.320435,0.538417
0.268,0.456674,0.980922,0.834874
0.269,-0.265939,0.542777,1.10953
0.27,-1.09645,0.952584,0.12861
0.271,-0.215803,0.950405,0.695365
0.272,0.435965,0.150408,0.830514
0.273,0.038147,0.938416,0.194005
0.274,-0.141689,0.342233,0.704084
0.275,1.61416,0.548227,0.148228
0.276,-0.194005,0.88283,-0.562395
0.277,-1.1989,-0.589643,-1.24468
0.278,-0.841413,0.769479,-0.741141
0.279,0.0414167,-0.950405,-0.451224
0.28,-1.30899,0.0970023,-0.582014
0.281,-0.852312,-0.106812,-0.708444
0.282,0.546047,-0.809806,-0.385829
0.283,0.3782,0.344413,-0.0414167
0.284,-0.194005,-0.153678,0.0174386
0.285,0.520979,0.975473,1.06594
0.286,0.594003,0.480652,1.17711
0.287,-0.567845,1.1782,0.411987
0.288,-0.0174386,0.352042,0.523158
0.289,0.445775,0.667027,1.04632
0.29,0.179836,0.487191,1.44741
0.291,-1.13133,0.927516,0.497001
0.292,-0.25177,0.361851,0.318255
0.293,1.11171,0.0523158,0.762939
0.294,-0.291007,1.22942,0
0.295,-0.37493,-0.208173,-0.063215
0.296,-0.24632,0.676836,0.135149
0.297,0.353132,-0.37275,-0.444685
0.298,0.272478,-0.389099,-0.0152588
0.299,0.184195,0.792367,0.063215
0.3,0.0294277,-0.834874,-0.335693
0.301,-1.81035,0.972203,-1.70027
0.302,-1.21852,-0.490461,-1.23596
0.303,-0.194005,-0.491551,0.0174386
0.304,0.903538,1.48228,0.00653948
0.305,-0.813075,0.458854,1.2752
0.306,0.144958,1.95966,1.0703
0.307,0.178746,0.574384,1.19673
0.308,-0.749861,0.669207,0.342233
0.309,-0.244141,1.21307,0.418527
0.31,0.680106,-0.0784738,1.5346
0.311,0.63215,1.04196,1.2316
0.312,-0.637599,0.613621,0.695365
0.313,0.164577,0.390189,-0.0871931
0.314,0.088283,0.156948,0.207084
0.315,-0.443595,0.138419,-0.398908
0.316,-1.16948,0.437055,-0.25286
0.317,-0.281198,-0.151498,-0.263759
0.318,0.840323,0.0795637,-0.0152588
0.319,-0.862122,-0.725882,-0.893729
0.32,-0.222342,-0.0316075,-0.215803
0.321,0.285557,-0.264849,-0.00653948
0.322,0.194005,-0.0784738,-0.420707
0.323,-0.241961,0.154768,-0.802176
0.324,-0.0217983,0.532968,0.0653948
0.325,0.617981,0.00762939,0.749861
0.326,-0.416347,1.3188,0.839233
0.327,0.524248,1.45176,1.06594
0.328,0.371661,-0.318255,1.49318
0.329,0.488281,1.46811,0.287737
0.33,0.25504,0.710624,0.475202
0.331,-0.954764,1.42452,1.20544
0.332,0.105722,0.63324,0.558036
0.333,-0.552586,0.456674,-0.468663
0.334,-0.535148,0.349862,-0.0108991
0.335,1.3286,-0.0599452,0.497001
0.336,0.38256,0.316075,-0.146048
0.337,-1.14114,0.338963,-1.22288
0.338,-0.346593,0.362941,-0.180926
0.339,1.13787,-0.25395,-0.141689
0.34,-0.369481,0.00217983,-0.891549
0.341,-1.00817,0.309535,-0.414167
0.342,0.968933,-0.512259,0.368391
0.343,0.551496,0.204904,-0.813075
0.344,0.517709,0.771659,0.0174386
0.345,-0.088283,0.0272478,0.647409
0.346,-0.547137,1.34495,0.667027
0.347,-2.67356,0.0414167,-0.204904
0.348,-2.62233,1.32316,0.152588
0.349,-1.3395,0.102452,1.66539
0.35,-1.80708,0.312805,1.51062
0.351,-1.89427,1.41362,1.34277
0.352,-0.765119,0.466483,1.78964
0.353,-2.00871,0.820705,0.660488
0.354,-1.71988,0.478472,-0.895909
0.355,-1.03542,0.167847,-0.337873
0.356,-0.188555,0.409808,-0.141689
0.357,-0.292097,0.719343,-1.08773
0.358,-0.0294277,0.406538,-0.786918
0.359,0.341143,-0.00762939,-0.597273
0.36,0.542777,0.195095,-0.852312
0.361,0.851222,0.401088,-0.601632
0.362,1.49427,-0.274658,0.407628
0.363,1.36675,0.447954,0.62561
0.364,1.05831,0.404358,0.514439
0.365,1.26648,-0.143869,0.115531
0.366,1.22397,1.29264,1.43651
0.367,0.198364,0.514439,0.799997
0.368,1.15531,0.662667,0.148228
0.369,0.913348,1.18801,0.649588
0.37,-0.0425066,-0.223432,0.25068
0.371,-1.19781,1.47683,-0.0392369
0.372,0.50899,0.796727,1.48664
0.373,0.0468663,0.479562,1.31008
0.374,0.0948225,0.665937,0.0239781
0.375,-0.599452,-0.326974,-0.231062
0.376,-0.8861,0.50681,-0.261579
0.377,-0.732422,-0.135149,-0.292097
0.378,-1.08555,0.309535,-0.512259
0.379,-1.26539,0.152588,-0.688825
0.38,-1.37438,-0.873021,-0.891549
0.381,-1.58691,0.063215,-1.05722
0.382,0.0207084,0.0174386,-0.0414167
0.383,0.970023,-0.12643,0.438145
0.384,0.571115,1.02343,0.0653948
0.385,0.442505,0.296456,0.0261579
0.386,0.729152,0.953674,0.991821
0.387,-0.416347,1.07465,0.854492
0.388,0.857762,0.612531,0.959124
0.389,1.27847,0.984192,0.688825
0.39,0.478472,0.843593,0.161307
0.391,0.326974,1.25449,1.15531
0.392,0.911168,0.689915,0.776018
0.393,1.16839,0.986372,1.10735
0.394,1.72097,0.612531,0.643049
0.395,0.976563,0.201634,-0.198364
0.396,-0.166757,0.355312,-0.283378
0.397,-0.531878,0.00544957,0.0610352
0.398,-2.63541,-0.398908,-1.85503
0.399,-0.895909,0.146048,-1.491
0.4,-0.771659,-0.818525,-0.706264
0.401,-0.458854,-0.025068,0.12425
0.402,-0.273568,-0.158037,-0.0937326
0.403,-0.37711,0.25177,0.427246
0.404,-0.343323,0.25177,0.261579
0.405,-0.229972,0.651768,0.525338
0.406,-0.720433,0.688825,0.684466
0.407,-1.02779,1.18692,0.346593
0.408,0.788007,1.05068,1.26866
0.409,-0.698635,0.650678,0.769479
0.41,-0.302996,0.37384,0.0326974
0.411,-0.398908,0.990731,0.51008
0.412,1.48228,0.903538,1.85067
0.413,1.04523,0.991821,0.845773
0.414,0.25613,0.551496,0.411987
0.415,0.51008,-0.481742,-1.01798
0.416,0.0283378,0.301906,-0.786918
0.417,0.12098,0.189645,-0.407628
0.418,-0.858852,0.0719343,-0.512259
0.419,0.394549,0.134059,-0.429426
0.42,0.724792,-0.075204,-0.0435965
0.421,-0.294277,0.234331,-1.49536
0.422,0.146048,0.140599,-0.50136
0.423,1.21089,-0.155858,1.14659
0.424,-0.306266,1.12806,0.150408
0.425,-0.903538,0.982012,-0.0784738
0.426,0.817435,0.0893729,0.970023
0.427,0.0686646,0.614711,1.42343
0.428,-0.935146,0.771659,0.952584
0.429,-0.650678,0.986372,-0.0174386
0.43,-0.111171,0.560216,0.662667
0.431,-1.32424,0.00544957,0.930786
0.432,-1.26757,1.06376,0.316075
0.433,1.49754,0.997271,1.67193
0.434,0.565665,0.0871931,1.19237
0.435,-1.30899,0.389099,-0.699724
0.436,-0.749861,-0.147138,-0.697545
0.437,-0.108991,-0.397818,-0.0653948
0.438,-0.185285,0.359671,-1.07247
0.439,0.325884,0.0795637,-0.684466
0.44,0.00326974,-0.385829,-0.0348772
0.441,-0.941685,0.619071,-0.948225
0.442,-0.765119,-0.013079,-0.523158
0.443,-0.0163487,-0.00435965,-0.233241
0.444,1.33405,0.946045,0.411987
0.445,-0.261579,0.227792,0.782558
0.446,0.427246,1.36239,0.366211
0.447,0.804356,0.849043,1.41907
0.448,-0.830514,0.801086,1.02452
0.449,-1.11498,0.924247,0.407628
0.45,1.21961,0.674656,1.15749
0.451,1.32642,0.355312,1.18583
0.452,-0.300816,1.06376,0.305176
0.453,0.108991,0.729152,0.725882
0.454,-0.238691,0.648499,0.350952
0.455,-1.06812,-0.0970023,-0.682286
0.456,-1.65776,0.389099,-1.33187
0.457,0.232152,-0.855582,0.0457764
0.458,-0.898089,0.262669,-0.638689
0.459,-0.241961,0.305176,-0.00435965
0.46,0.188555,-0.609262,-0.699724
0.461,-0.262669,0.298636,-0.575474
0.462,-0.0457764,-0.548227,0.108991
0.463,-0.443595,1.38201,0.0108991
0.464,0.75967,0.415257,0.738961
0.465,-0.989641,0.656128,0.0283378
0.466,-1.07139,1.00817,-0.0392369
0.467,0.864301,0.50463,1.08119
0.468,0.540597,0.910078,1.80272
0.469,0.648499,1.00817,0.662667
0.47,1.23378,0.855582,1.12915
0.471,0.772749,0.804356,0.529698
0.472,-0.88501,1.17602,0.438145
0.473,-0.652858,1.06376,0.466483
0.474,-0.0316075,0.528608,0.446865
0.475,0.00653948,0.205994,-0.414167
0.476,0.273568,-0.426156,0.222342
0.477,-0.768389,0.063215,-0.357492
0.478,0.371661,-0.180926,0.453404
0.479,-0.189645,0.12752,-0.605992
0.48,-0.442505,-0.118801,-1.01798
0.481,-0.63433,-0.415257,-0.688825
0.482,0.00544957,0.140599,-0.353132
0.483,-0.434875,-0.403268,-0.0544957
0.484,-0.712803,1.06158,0.623431
0.485,0.439235,-0.263759,1.09863
0.486,-0.317165,1.02561,0.340053
0.487,-0.0141689,0.285557,1.0158
0.488,-0.300816,0.527518,0.773839
0.489,0.407628,1.1455,1.45394
0.49,-0.228882,1.17057,0.285557
0.491,-0.391279,0.474112,0.324794
0.492,-0.291007,0.896999,0.62997
0.493,0.1297,0.421797,0.919887
0.494,0.862122,0.456674,-0.115531
0.495,0.117711,0.88501,-0.364031
0.496,-0.414167,-0.238691,-0.00871931
0.497,-0.730242,0.166757,-0.449044
0.498,-0.63433,0.135149,-0.789097
0.499,0.390189,-0.106812,-0.411987
0.5,0.12316,0.0675746,-0.843593
0.501,0.497001,0.410897,-0.571115
0.502,-0.608172,0.0425066,-0.791277
0.503,-1.02779,0.571115,-0.462123
0.504,-0.286647,0.0294277,1.04414
0.505,0.477382,0.946045,0.425066
0.506,-0.321525,0.712803,0.431606
0.507,0.88392,0.691005,1.54332
0.508,0.915527,0.276838,1.42997
0.509,-0.319345,1.07356,0.839233
0.51,0.802176,0.866481,1.2207
0.511,0.13079,0.443595,0.289917
0.512,-0.319345,0.962394,0.180926
0.513,-0.746591,0.0555856,-0.0610352
0.514,-0.437055,1.23269,0.222342
0.515,0.714983,-0.0272478,0.370571
0.516,0.161307,0.223432,-0.0893729
0.517,0.0490461,-0.568935,-0.562395
0.518,-0.37602,0.440325,0.529698
0.519,0.12207,0.177656,-0.586374
0.52,-0.743321,0.191825,-1.38201
0.521,0.0664847,0.0621251,-0.721523
0.522,0.293187,-0.566755,-0.837054
0.523,-1.71443,0.857762,-0.392369
0.524,0.139509,0.408718,0.302996
0.525,1.29264,0.732422,1.28828
0.526,1.394,0.784738,0.311715
0.527,0.0959124,1.52697,1.10081
0.528,-0.403268,0.682286,1.07465
0.529,-0.718253,1.26866,0.656128
0.53,-0.301906,0.894819,0.165667
0.531,0.650678,0.265939,0.331334
0.532,1.29264,0.890459,0.721523
0.533,0.416347,0.643049,1.02452
0.534,0.594003,0.243051,0.106812
0.535,0.0762939,0.313895,-0.226702
0.536,-0.592913,0.063215,-0.407628
0.537,-0.864301,-0.268119,-0.939505
0.538,-0.0850133,-0.0457764,-0.555856
0.539,0.819615,-0.293187,0.213623
0.54,-0.12207,0.475202,-1.00272
0.541,0.197274,0.273568,-1.04632
0.542,-0.0850133,-0.159127,-0.00435965
0.543,-1.04305,0.410897,-0.75204
0.544,-0.0490461,0.309535,0.0457764
0.545,-0.12316,1.25013,0.475202
0.546,0.869751,0.49918,0.889369
