DynoWare,Version 3.1.2.0
Path:,C:\Kistler\Dynoware\Data\
Filename:,messdat.dwd
Config ID:,messdat_067.cfg
Setup ID:,0
Manipulated:,0
Filename 1:, 
Filename 2:, 
Date:,Wednesday, November 29, 2023
Time:,16:28:59
Sampling rate [Hz]:,1000
Measuring time [s]:,75
Delay time [s]:,0
Cycle time [s]:,0
Cycles:,1
Samples per channel:,75001
Cycle interval:,0
Cycle No:,1
Time,Fx,Fy,Fz
s,N,N,N
0,1.45612,-0.237601,-0.388009
0.001,1.08882,-0.025068,-0.150408
0.002,1.95748,-0.11989,-0.425066
0.003,1.72969,-0.721523,-0.305176
0.004,1.43433,-0.954764,-0.810896
0.005,2.51116,-0.979832,-0.368391
0.006,2.75748,-1.39073,-0.660488
0.007,2.16893,-1.11498,-1.07465
0.008,2.43269,-1.49863,-1.04414
0.009,2.27138,-1.22179,-1.2534
0.01,1.98909,-0.875201,-1.29046
0.011,1.9455,-0.88501,-1.53242
0.012,1.9553,-0.143869,-1.46702
0.013,2.16784,-0.287737,-1.21634
0.014,1.1237,-0.0621251,-1.70244
0.015,1.48337,0.0446865,-1.71552
0.016,1.77329,0.268119,-1.02452
0.017,1.16185,0.236511,-0.847953
0.018,1.15858,0.567845,-0.409808
0.019,0.744411,0.0239781,-0.553676
0.02,0.922067,-0.13079,-0.789097
0.021,2.29209,-0.478472,0.013079
0.022,1.90081,-0.519889,-0.392369
0.023,2.75857,-0.458854,0.0828334
0.024,2.28228,-0.721523,-0.0828334
0.025,2.11988,-1.03106,-1.00708
0.026,2.3128,-0.951495,-0.719343
0.027,2.85666,-1.28719,-0.954764
0.028,2.83269,-0.903538,-1.46048
0.029,2.06866,-0.936236,-1.38637
0.03,1.6207,-0.772749,-1.74386
0.031,1.47356,-0.0643049,-1.88337
0.032,1.49863,-0.328064,-1.78092
0.033,1.794,-0.186375,-1.14877
0.034,1.22179,-0.311715,-1.2098
0.035,1.61852,-0.0370571,-1.17275
0.036,1.43869,0.238691,-1.32098
0.037,1.00163,0.0773839,-0.926427
0.038,0.874111,-0.25504,-0.555856
0.039,0.913348,-0.0359671,-0.12861
0.04,1.38201,-0.700814,-0.106812
0.041,1.64032,-0.590733,-0.335693
0.042,1.94659,-0.8861,0.272478
0.043,2.5068,-1.11389,0.152588
0.044,2.76511,-0.574384,0.00653948
0.045,2.33677,-0.766209,-0.0457764
0.046,2.83596,-0.853402,-0.623431
0.047,2.53405,-0.38256,-0.998361
0.048,1.98146,-0.643049,-0.987462
0.049,1.44523,-0.477382,-1.28392
0.05,1.80817,-0.155858,-1.92261
0.051,1.39836,-0.637599,-1.5673
0.052,1.29809,-0.151498,-1.8158
0.053,0.780378,-0.214713,-1.69591
0.054,1.31771,-0.155858,-1.69155
0.055,1.25994,-0.25068,-1.31444
0.056,0.694275,-0.144958,-1.45612
0.057,1.14005,-0.467573,-1.15095
0.058,1.92915,-0.277928,0.0217983
0.059,2.42397,-0.280108,-0.346593
0.06,1.82887,0.0261579,-0.37275
0.061,1.588,-0.980922,-0.156948
0.062,2.35857,-0.996181,-0.300816
0.063,2.56675,-0.530788,-0.701904
0.064,2.24849,-0.847953,-0.274658
0.065,2.67574,-0.490461,0.220163
0.066,2.75094,-0.347682,-0.605992
0.067,2.90026,-0.275748,-0.815255
0.068,2.67138,-0.347682,-1.65013
0.069,1.41362,-0.318255,-1.88991
0.07,1.7831,-0.011989,-1.43433
0.071,1.99018,0.144958,-1.46702
0.072,0.558036,0.164577,-2.32152
0.073,0.481742,-0.578744,-1.97492
